"","V1"
"ProgrammeNotCompleted_WhyEnrol",15
"ProgrammeNotCompleted_WhyNotComplete",14
"ProgrammeNotCompleted_Level",15
"EducationCurrentEnrol",10
"FieldOfStudyEduc",7
"FinancialSupportSource",10
"OverallExperienceProgramme_Curriculum",9
"OverallExperienceProgramme_Equity",9
"OverallExperienceProgramme_Quality",9
"OverallExperienceProgramme_Environment",9
"OverallExperienceProgramme_Conferences",9
"OverallExperienceProgramme_Networking",9
"OverallExperienceProgramme_Mentoring",9
"iFacultyAdvisor",10
"FacultyAdvisorGender",8
"MainAdvisorRelationship",8
"InstitutionPolicies_Harassment",9
"InstitutionPolicies_Mentoring",10
"InstitutionPolicies_Networking",10
"InstitutionPolicies_FamilyCare",10
"InstitutionPolicies_ChildcareCont",10
"InstitutionPolicies_PermChildcare",10
"InstitutionPolicies_OccasChildcare",10
"InstitutionPolicies_ParentalLeave",10
"InstitutionPolicies_Health",10
"InstitutionPolicies_SupportServ",9
"InstitutionPolicies_Other",4
"iInterruption6months",10
"InterruptionNumMonths",2
"InterruptionReasons",2
"InterruptionReturnChange",2
"iProgrammeNotCompleted_Ed",10
"ProgrammeNotCompleted_WhyEnrol_Ed",2
"ProgrammeNotCompleted_WhyNotComplete_Ed",2
"ProgrammeNotCompleted_Level_Ed",2
"DomesticArrangement_Ed",9
"DifficultFulfillResp",9
"DifficultFulfillResp_Reasons",4
"iDependants_Ed",10
"Dependants_Age_0_4",6
"Dependants_Age_5_18",2
"Dependants_Age_19_65",2
"Dependants_Age_65up",2
"iChildren",10
"ParentalLeave_NumAllowedCombined_Ed",5
"ParentalLeave_NumAllowed_Ed",4
"ParentalLeave_NumPartnerAllowed_Ed",5
"ParentalLeave_NumTaken_Ed",4
"ParentalLeave_NumPartnerTaken_Ed",5
"ChildrenCaredForMethod_Ed",5
"iPartnerWorkingForMoney_Ed",5
"NumHrsHousehold_Shopping_Ed",10
"NumHrsHousehold_Food_Ed",10
"NumHrsHousehold_Laundry_Ed",10
"NumHrsHousehold_HouseMaintenance_Ed",10
"NumHrsHousehold_Gardening_Ed",10
"ReasonsTurnDownTravel_Ed",8
"iDiscrimAtWork_Ed",10
"NatureWorkDiscrim_Ed",6
"BasisWorkDiscrim_Ed",8
"HowAffectedCareer_Ed",5
"RecipientLeers_Ed",10
"TouchedUnwelcome_Ed",10
"iGendersTreatedEquallyAtSchool",10
"iWomenMinorityOverlooked_Ed",10
"ActivityFrequency_SciencePres_Ed",10
"ActivityFrequency_RadioTV_Ed",10
"ActivityFrequency_NewspaperMagazine_Ed",10
"iWomenSuccessfulAsMen_Ed",10
"iOSEquallySuitedGender_Ed",10
"AwareGenderPayGap_Ed",10
"iFundingApplied5Years_Ed",10
"NumTimesAppliedFinancial_National",6
"NumTimesAppliedFinancial_International",5
"NumAwarded_National",6
"NumAwarded_International",4
"GrantsResearchStay_National_Ed",6
"GrantsResearchStay_International_Ed",6
"GrantsAttendConf_National_Ed",6
"GrantsAttendConf_International_Ed",5
"Email",13
"X225",0
"X226",0
"X227",0
"Helped_Apprenticeshi",70
"EconomicOpportunity",168
"Conservation",168
"CapacityDevelopment",168
